filename,canonical_smiles
BN1.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-n2c4ccccc4c4cccc(-c5ccc6c(c5)c5cccc7c5n6-c5ccccc5O7)c42)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN2.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-n2c4ccccc4c4cccc(-c5ccc6c(c5)c5cccc7c5n6-c5ccccc5S7)c42)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN3.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-n2c4ccccc4c4cccc(-c5ccc6c(c5)c5cccc7c5n6-c5ccccc5[Se]7)c42)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BNAP.xyz,CC(=O)c1ccc(-c2cc3c4c(c2)-n2c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)cc(c52)B4c2cc(C(C)(C)C)cc4c5cc(C(C)(C)C)ccc5n-3c24)cc1
BNCz-mTPA.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2cccc(N(c4ccccc4)c4ccccc4)c2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BNCz-n-POABNCz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2cccc4cccc(-c5cc6c7c(c5)-n5c8ccc(C(C)(C)C)cc8c8cc(C(C)(C)C)cc(c85)B7c5cc(C(C)(C)C)cc7c8cc(C(C)(C)C)ccc8n-6c57)c24)cc2c1B3c1cccc3c1N2c1ccccc1O3
BNCz-pTPA.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc(N(c4ccccc4)c4ccccc4)cc2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BNCz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BNDIP.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1ccccc1N3c1cccc(N2c3ccccc3-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc2c43)c1Cl
BNDO.xyz,CC(C)(C)c1ccc2c(c1)c(=O)c1cccc3c(=O)c4c5c6c(cc4n2c13)-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)cc(c21)B6c1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)ccc3n-5c12
BNIP-CzDPA.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cccc3c1B2c1cc(N(c2ccccc2)c2ccccc2)cc2c4cc(N(c5ccccc5)c5ccccc5)ccc4n-3c12
BNIP-tBuCz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cccc2c1B3c1cccc3c1B2c1cc(C(C)(C)C)cc2c4cc(C(C)(C)C)ccc4n-3c12
BNIP-tBuDPAC.xyz,CC(C)(C)c1cc2cc(c1)C(C)(C)C(C)(C)c1cc(C(C)(C)C)cc(c1)C21c2ccccc2N2c3cccc4c3B(c3cccc5c3N4c3cc(C(C)(C)C)cc4c6cc(C(C)(C)C)ccc6n-5c34)c3cccc1c32
BNNDI.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc4c5c(cccc25)C(=O)N(c2ccccc2)C4=O)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BNO-DMAC.xyz,CC(C)(C)c1ccc2c(c1)B1c3c(cc(N4c5ccccc5C(C)(C)c5ccccc54)cc3-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc1c43)O2
BNO-DPAC.xyz,CC(C)(C)c1ccc2c(c1)B1c3c(cc(N4c5ccccc5C(c5ccccc5)(c5ccccc5)c5ccccc54)cc3-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc1c43)O2
BNO-tBuDMAC.xyz,CC(C)(C)c1ccc2c(c1)B1c3c(cc(N4c5ccc(C(C)(C)C)cc5C(C)(C)c5cc(C(C)(C)C)ccc54)cc3-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc1c43)O2
BNO.xyz,CC(C)(C)c1ccc2c(c1)c(=O)c1ccccc1n2-c1cc2c3c(c1)-n1c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc(c41)B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BNOSe.xyz,CC(C)(C)c1ccc2c(c1)B1c3c(c4c5c(c3-n3c6c1cccc6c1[se]c6ccccc6c13)Oc1ccc(C(C)(C)C)cc1B5c1cccc3c5[se]c6ccccc6c5n-4c13)O2
